,violent,crime_type,unique_id,gender,age,race,marital_stat,is_military,year_arrested,year_admitted,ntimes_arrested,age_arrest_first,violent_first,probation_yn,ntimes_incarc_adult,ntimes_incarc_juv,highest_grade_attend,has_GED,has_HSD,had_job,public_assist_prior,monthly_income_prior,family_makeup,child_caretaker_welfare,child_caretaker_substabuse,parents_servetime,family_servetime,commit_crime_juv,age_crime_first,forcible_sex,phys_abuse,age_drink_first,drink_frequency,used_heroin,used_meth,used_barbiturates,used_crack,used_cocaine,used_pcp,used_ecstacy,used_lsd,used_pot
239,1,1,240,female,42,black,never_marr,0,1999,2000,6.0,18.0,0,1,4.0,0.0,12.0,1,0,0,1,500.0,both,1,0,0,0,1,15.0,0,1,16.0,9,1,0,0,0,1,0,0,0,1
241,0,4,242,female,32,white,never_marr,0,2003,2003,0.0,18.9689288635,0,0,2.0,0.0,17.0,0,1,1,0,0.0,father,1,0,0,0,0,13.8279620853,0,0,18.0,9,0,0,0,0,0,0,0,0,0
245,0,5,246,female,32,white,never_marr,0,2003,2003,2.0,17.0,1,0,2.0,0.0,8.0,0,0,1,0,100.0,both,0,1,1,0,0,13.8279620853,1,1,16.0,0,0,0,0,1,1,0,0,0,0
246,1,1,247,female,24,black,never_marr,0,2003,2003,4.0,17.0,0,1,2.0,0.0,10.0,0,0,0,0,6250.0,mother,0,0,0,1,1,13.0,1,1,13.0,9,1,0,0,1,1,0,1,0,1
247,1,1,248,female,45,white,married,0,2001,2001,0.0,18.9689288635,0,0,2.0,0.0,12.0,0,1,1,0,1100.0,both,0,1,0,1,1,14.0,0,1,14.0,10,0,0,0,0,1,0,0,0,1
249,0,3,250,female,42,white,separated,0,1995,1995,0.0,18.9689288635,0,0,2.0,0.0,12.0,0,1,1,0,0.0,both,0,1,0,1,0,13.8279620853,1,1,19.0,8,0,0,0,0,0,0,0,0,0
251,0,3,252,female,30,white,widowed,0,1998,1998,0.0,18.9689288635,0,0,2.0,0.0,10.8733575272,0,0,1,0,900.0,mother,0,0,0,0,0,13.8279620853,1,1,14.0,10,0,0,0,0,1,0,0,0,1
253,0,2,254,female,40,white,divorced,0,2003,2003,6.0,35.0,0,1,2.0,0.0,12.0,0,1,1,0,6250.0,both,0,1,0,0,1,15.0,0,0,15.0,9,0,0,0,0,0,0,0,0,1
256,1,1,257,female,21,white,never_marr,0,2002,2003,5.0,12.0,0,1,2.0,0.0,12.0,0,0,1,0,500.0,both,0,1,0,0,1,10.0,1,1,8.0,7,0,0,1,1,1,1,1,1,1
258,1,1,259,female,25,white,never_marr,0,2003,2003,5.0,15.0,1,1,2.0,0.0,10.0,0,0,0,0,0.0,mother,1,1,1,0,1,11.0,1,1,9.0,10,1,1,1,1,1,0,1,1,1
260,0,3,261,female,22,white,never_marr,0,2000,2000,20.0,13.0,0,1,0.0,10.0,7.0,1,0,1,0,3750.0,mother,1,0,0,0,1,12.0,1,1,13.0,6,0,0,0,0,1,0,0,0,1
263,1,1,264,male,30,black,never_marr,1,1996,1996,1.0,20.0,1,1,1.0,0.0,9.0,1,0,1,0,500.0,mother,0,0,0,0,1,13.0,0,0,12.0,9,0,0,0,0,0,0,0,0,1
265,1,1,266,male,31,white,never_marr,0,1995,1995,0.0,18.9689288635,0,0,2.0,0.0,13.0,0,1,1,0,3750.0,both,0,0,0,0,0,13.8279620853,0,0,16.0,7,0,0,0,0,0,0,0,0,0
